ReviewID,ProductID,ReviewerID,ReviewText,Rating,ReviewDate,VerifiedPurchase,HelpfulVotes,Label
REV00001,P1027,R11717,The product is okay but I expected slightly better performance.,2,2024-02-16,No,17,1
REV00002,P1013,R10326,Works well for daily use and battery backup is decent.,3,2023-11-22,Yes,223,0
REV00003,P1000,R10893,The product is okay but I expected slightly better performance.,2,2024-02-13,Yes,46,0
REV00004,P1026,R10089,The item works fine although delivery was delayed.,2,2022-10-19,No,28,1
REV00005,P1146,R10976,The product is okay but I expected slightly better performance.,4,2024-08-19,No,27,1
REV00006,P1133,R11641,Average quality but customer service was responsive.,5,2023-02-28,Yes,92,0
REV00007,P1207,R10645,The product is okay but I expected slightly better performance.,2,2024-03-26,No,149,0
REV00008,P1175,R11102,The product is okay but I expected slightly better performance.,5,2024-12-02,No,116,0
REV00009,P1216,R11544,Works well for daily use and battery backup is decent.,3,2022-06-19,No,13,0
REV00010,P1085,R10690,The product is okay but I expected slightly better performance.,5,2022-05-31,Yes,48,0
REV00011,P1086,R10033,Good value for money and customer support was helpful.,3,2022-06-30,No,204,0
REV00012,P1090,R10469,Works well for daily use and battery backup is decent.,5,2024-12-25,Yes,234,0
REV00013,P1073,R11013,Average quality but customer service was responsive.,3,2024-09-17,Yes,168,0
REV00014,P1096,R11539,I am satisfied with the purchase although packaging could improve.,5,2022-04-01,No,118,0
REV00015,P1065,R11636,Good experience overall and packaging was nice.,4,2023-07-11,Yes,1,1
REV00016,P1027,R11264,The product is okay but I expected slightly better performance.,2,2024-11-11,Yes,5,0
REV00017,P1229,R10017,The product quality is really good and delivery was on time.,5,2022-05-31,Yes,115,0
REV00018,P1082,R10537,The product is okay but I expected slightly better performance.,5,2022-03-09,Yes,12,0
REV00019,P1006,R11308,Works well for daily use and battery backup is decent.,3,2024-05-08,Yes,94,0
REV00020,P1095,R11369,I am satisfied with the purchase although packaging could improve.,3,2022-06-10,No,9,1
REV00021,P1132,R10793,The product is okay but I expected slightly better performance.,4,2022-10-27,Yes,199,0
REV00022,P1213,R10797,Average quality but customer service was responsive.,4,2022-09-17,Yes,203,0
REV00023,P1161,R10341,Works well for daily use and battery backup is decent.,5,2024-06-04,No,35,0
REV00024,P1005,R10715,Average quality but customer service was responsive.,5,2024-07-12,No,42,1
REV00025,P1133,R10665,Average quality but customer service was responsive.,3,2023-12-05,Yes,45,0
REV00026,P1057,R11167,The product is nice but shipping took longer than expected.,4,2022-07-10,No,99,0
